,NOME MUNICÍPIO
ROSARIO DO SUL,8816
JOAO DOURADO,8809
GARCA,8809
GOVERNADOR NUNES FREIRE,8794
PINDORETAMA,8792
AURORA DO PARA,8789
PALMITAL,8785
MAZAGAO,8772
RIO PRETO DA EVA,8769
IRAUCUBA,8762
ITUBERA,8762
PRESIDENTE EPITACIO,8753
COXIM,8753
JAGUARIUNA,8751
CARAUBAS,8745
CUPIRA,8736
PERITORO,8736
FEIRA GRANDE,8726
CAMPO VERDE,8708
SAO GERALDO DO ARAGUAIA,8694
IBOTIRAMA,8670
MARACAS,8659
VICENCIA,8658
LAJE,8655
OSORIO,8650
JAGUARE,8646
PEDRA,8635
MACAU,8621
BARRA DOS COQUEIROS,8620
JOAO LISBOA,8598
CANELA,8574
LAGOA SECA,8562
SANTO ANTONIO DO ICA,8548
SAO MIGUEL ARCANJO,8546
PITANGA,8541
SANTANA DO PARAISO,8530
PROPRIA,8523
ALTO ALEGRE DO MARANHAO,8519
PANELAS,8516
RIO BRANCO DO SUL,8516
FATIMA,8508
